preprocessing,k1,b,query_id,precision_at_10,recall_at_10,average_precision
without_stopwords_with_stemming,0.5,0.75,123,0.0,0.0,0.07941176470588235
without_stopwords_with_stemming,0.5,0.75,124,0.0,0.0,0.0038031892562419498
without_stopwords_with_stemming,0.5,0.75,125,0.3,0.17647058823529413,0.24367136360096556
without_stopwords_with_stemming,0.5,0.75,126,0.2,0.25,0.1586662494924683
without_stopwords_with_stemming,0.5,0.75,127,0.1,0.2,0.09257338335908188
without_stopwords_with_stemming,0.5,0.75,128,0.0,0.0,0.014039658416558113
without_stopwords_with_stemming,0.5,0.75,129,0.4,0.5714285714285714,0.44420670085915026
without_stopwords_with_stemming,0.5,0.75,13,0.0,0.0,0.0027300464228189473
without_stopwords_with_stemming,0.5,0.75,130,0.3,0.6,0.41720930232558145
without_stopwords_with_stemming,0.5,0.75,131,0.1,0.125,0.26535576293119395
without_stopwords_with_stemming,0.5,0.75,132,0.6,0.4,0.6873300338006221
without_stopwords_with_stemming,0.5,0.75,133,0.3,0.42857142857142855,0.44548419144692436
without_stopwords_with_stemming,0.5,0.75,134,0.1,0.5,0.2647058823529412
without_stopwords_with_stemming,0.5,0.75,135,0.4,0.5,0.5219433344433344
without_stopwords_with_stemming,0.5,0.75,136,0.2,0.6666666666666666,0.47222222222222215
without_stopwords_with_stemming,0.5,0.75,137,0.1,0.25,0.17233873508172404
without_stopwords_with_stemming,0.5,0.75,138,0.1,0.5,0.15064102564102563
without_stopwords_with_stemming,0.5,0.75,139,0.0,0.0,0.010116294675118204
without_stopwords_with_stemming,0.5,0.75,14,0.2,1.0,0.6
without_stopwords_with_stemming,0.5,0.75,140,0.2,0.3333333333333333,0.18972903735561963
without_stopwords_with_stemming,0.5,0.75,141,0.1,0.16666666666666666,0.153754131173486
without_stopwords_with_stemming,0.5,0.75,142,0.0,0.0,0.07692307692307693
without_stopwords_with_stemming,0.5,0.75,143,0.2,1.0,0.6428571428571428
without_stopwords_with_stemming,0.5,0.75,144,0.4,0.6666666666666666,0.3019696089818041
without_stopwords_with_stemming,0.5,0.75,145,0.2,0.2857142857142857,0.18298770904380324
without_stopwords_with_stemming,0.5,0.75,146,0.2,1.0,0.6666666666666666
without_stopwords_with_stemming,0.5,0.75,147,0.4,0.4,0.2882656863579643
without_stopwords_with_stemming,0.5,0.75,148,0.2,0.3333333333333333,0.17858156812860645
without_stopwords_with_stemming,0.5,0.75,149,0.4,0.36363636363636365,0.33603592048253533
without_stopwords_with_stemming,0.5,0.75,15,0.2,1.0,1.0
without_stopwords_with_stemming,0.5,0.75,150,0.2,1.0,0.8333333333333333
without_stopwords_with_stemming,0.5,0.75,151,0.0,0.0,0.02714913191468396
without_stopwords_with_stemming,0.5,0.75,152,0.0,0.0,0.016013669778590714
without_stopwords_with_stemming,0.5,0.75,153,0.3,0.42857142857142855,0.32989475951441394
without_stopwords_with_stemming,0.5,0.75,154,0.2,1.0,0.6666666666666666
without_stopwords_with_stemming,0.5,0.75,155,0.1,0.16666666666666666,0.14120910089477343
without_stopwords_with_stemming,0.5,0.75,156,0.7,0.5,0.4766935505453386
without_stopwords_with_stemming,0.5,0.75,157,0.3,0.07692307692307693,0.28876796296763907
without_stopwords_with_stemming,0.5,0.75,158,0.3,0.375,0.36189204073156284
without_stopwords_with_stemming,0.5,0.75,159,0.1,0.125,0.06724111454993809
without_stopwords_with_stemming,0.5,0.75,16,0.1,0.3333333333333333,0.1917191719171917
without_stopwords_with_stemming,0.5,0.75,160,0.1,0.2,0.22204192457265104
without_stopwords_with_stemming,0.5,0.75,161,0.3,0.5,0.5286219019771651
without_stopwords_with_stemming,0.5,0.75,162,0.2,0.25,0.3067751531619785
without_stopwords_with_stemming,0.5,0.75,163,0.2,0.6666666666666666,0.26883468834688345
without_stopwords_with_stemming,0.5,0.75,164,0.4,0.5,0.5220656219757314
without_stopwords_with_stemming,0.5,0.75,165,0.2,1.0,0.5833333333333333
without_stopwords_with_stemming,0.5,0.75,166,0.1,0.125,0.03915758474466543
without_stopwords_with_stemming,0.5,0.75,167,0.2,1.0,1.0
without_stopwords_with_stemming,0.5,0.75,168,0.0,0.0,0.029583763329893358
without_stopwords_with_stemming,0.5,0.75,169,0.2,0.5,0.21540629299249986
without_stopwords_with_stemming,0.5,0.75,17,0.1,0.5,0.2653846153846154
without_stopwords_with_stemming,0.5,0.75,170,0.4,0.6666666666666666,0.552883167720566
without_stopwords_with_stemming,0.5,0.75,171,0.3,1.0,0.6388888888888888
without_stopwords_with_stemming,0.5,0.75,172,0.4,1.0,0.8875
without_stopwords_with_stemming,0.5,0.75,173,0.2,1.0,1.0
without_stopwords_with_stemming,0.5,0.75,174,0.1,0.2,0.055425490942261936
without_stopwords_with_stemming,0.5,0.75,175,0.1,0.2,0.04686811676357485
without_stopwords_with_stemming,0.5,0.75,176,0.0,0.0,0.05563580070308634
without_stopwords_with_stemming,0.5,0.75,177,0.5,1.0,0.6888888888888889
without_stopwords_with_stemming,0.5,0.75,178,0.2,0.5,0.4640151515151515
without_stopwords_with_stemming,0.5,0.75,179,0.2,0.5,0.3335913312693498
without_stopwords_with_stemming,0.5,0.75,18,0.1,0.3333333333333333,0.3566182548116661
without_stopwords_with_stemming,0.5,0.75,180,0.3,0.42857142857142855,0.43355229415709945
without_stopwords_with_stemming,0.5,0.75,181,0.1,0.2,0.2569024569263328
without_stopwords_with_stemming,0.5,0.75,182,0.2,1.0,0.5833333333333333
without_stopwords_with_stemming,0.5,0.75,183,0.6,0.46153846153846156,0.5872048884140472
without_stopwords_with_stemming,0.5,0.75,184,0.2,0.2857142857142857,0.3583509020690684
without_stopwords_with_stemming,0.5,0.75,185,0.6,0.6666666666666666,0.7569444444444443
without_stopwords_with_stemming,0.5,0.75,186,0.2,0.125,0.12157105747821043
without_stopwords_with_stemming,0.5,0.75,187,0.2,0.3333333333333333,0.16374696155224883
without_stopwords_with_stemming,0.5,0.75,188,0.5,0.45454545454545453,0.3884380671192247
without_stopwords_with_stemming,0.5,0.75,189,0.1,0.1111111111111111,0.09009459605741171
without_stopwords_with_stemming,0.5,0.75,19,0.0,0.0,0.048115199429297734
without_stopwords_with_stemming,0.5,0.75,190,0.3,0.6,0.5360983981693364
without_stopwords_with_stemming,0.5,0.75,191,0.3,0.23076923076923078,0.27383910472721024
without_stopwords_with_stemming,0.5,0.75,192,0.3,0.75,0.5009057971014492
without_stopwords_with_stemming,0.5,0.75,193,0.7,0.7777777777777778,0.8059677617817154
without_stopwords_with_stemming,0.5,0.75,194,0.2,0.3333333333333333,0.1858697178445171
